experiment,system,plant_no,target_total_weight_g,harvest_plant_height_cm,harvest_shoot_weight_g,harvest_root_weight_g,harvest_root_length_cm,harvest_no_of_leaves,head_diameter_average_cm,canopy_area_cm2,replicate,water_ph_mean,water_ph_min,water_ph_max,water_ph_std,water_ec_mean,water_ec_min,water_ec_max,water_ec_std,water_tds_mean,water_tds_min,water_tds_max,water_tds_std,water_water_temperature_mean,water_water_temperature_min,water_water_temperature_max,water_water_temperature_std,total_nutrient_solution_added_ml,total_water_consumption_l,total_acid_consumption_ml,env_air_temperature_mean,env_air_temperature_min,env_air_temperature_max,env_air_temperature_std,env_humidity_mean,env_humidity_min,env_humidity_max,env_humidity_std,env_co2_mean,env_co2_min,env_co2_max,env_co2_std,initial_height_mean_cm,initial_weight_mean_g,initial_root_length_mean_cm
Experiment 1,R1-T1,12,203.0,47.0,169.0,18.0,35.0,30.0,24.0,575.0,R1,6.060526315789474,5.2,6.9,0.45453242237676483,1.816315789473684,1.23,2.02,0.148207199424383,0.8002439024390244,0.0,1.01,0.3062976219211097,24.45,19.3,28.7,2.1956595939788977,314.0,70.0,78.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T2,1,279.0,55.0,238.0,33.0,41.0,27.0,27.0,729.0,R1,6.068421052631578,5.5,6.9,0.38189641965624715,1.8478947368421053,1.15,2.03,0.17465993868894342,0.8120731707317074,0.0,1.015,0.3140801039849782,24.2578947368421,19.1,28.3,1.978387378775606,350.0,50.0,70.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T2,2,219.0,55.0,180.0,37.0,45.0,22.0,25.0,625.0,R1,6.068421052631578,5.5,6.9,0.38189641965624715,1.8478947368421053,1.15,2.03,0.17465993868894342,0.8120731707317074,0.0,1.015,0.3140801039849782,24.2578947368421,19.1,28.3,1.978387378775606,350.0,50.0,70.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T2,3,244.0,56.0,192.0,41.0,42.0,24.0,27.0,729.0,R1,6.068421052631578,5.5,6.9,0.38189641965624715,1.8478947368421053,1.15,2.03,0.17465993868894342,0.8120731707317074,0.0,1.015,0.3140801039849782,24.2578947368421,19.1,28.3,1.978387378775606,350.0,50.0,70.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T2,4,304.0,57.0,172.0,129.0,44.0,22.0,25.5,650.0,R1,6.068421052631578,5.5,6.9,0.38189641965624715,1.8478947368421053,1.15,2.03,0.17465993868894342,0.8120731707317074,0.0,1.015,0.3140801039849782,24.2578947368421,19.1,28.3,1.978387378775606,350.0,50.0,70.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T2,5,236.0,57.0,200.0,31.0,45.0,23.0,28.0,783.0,R1,6.068421052631578,5.5,6.9,0.38189641965624715,1.8478947368421053,1.15,2.03,0.17465993868894342,0.8120731707317074,0.0,1.015,0.3140801039849782,24.2578947368421,19.1,28.3,1.978387378775606,350.0,50.0,70.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T2,6,236.0,58.0,205.0,25.0,46.0,24.0,27.0,728.0,R1,6.068421052631578,5.5,6.9,0.38189641965624715,1.8478947368421053,1.15,2.03,0.17465993868894342,0.8120731707317074,0.0,1.015,0.3140801039849782,24.2578947368421,19.1,28.3,1.978387378775606,350.0,50.0,70.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T2,7,150.0,54.0,107.0,39.0,43.0,26.0,24.0,575.0,R1,6.068421052631578,5.5,6.9,0.38189641965624715,1.8478947368421053,1.15,2.03,0.17465993868894342,0.8120731707317074,0.0,1.015,0.3140801039849782,24.2578947368421,19.1,28.3,1.978387378775606,350.0,50.0,70.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T2,8,192.0,54.0,171.0,13.0,42.0,22.0,26.0,676.0,R1,6.068421052631578,5.5,6.9,0.38189641965624715,1.8478947368421053,1.15,2.03,0.17465993868894342,0.8120731707317074,0.0,1.015,0.3140801039849782,24.2578947368421,19.1,28.3,1.978387378775606,350.0,50.0,70.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T2,9,230.0,61.0,216.0,10.0,48.5,25.0,26.0,675.0,R1,6.068421052631578,5.5,6.9,0.38189641965624715,1.8478947368421053,1.15,2.03,0.17465993868894342,0.8120731707317074,0.0,1.015,0.3140801039849782,24.2578947368421,19.1,28.3,1.978387378775606,350.0,50.0,70.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
