,precision,recall,f1-score,support
Seedling,1.0,1.0,1.0,17.0
Vegetative,1.0,0.9411764705882353,0.9696969696969697,17.0
Mature,0.9411764705882353,1.0,0.9696969696969697,16.0
accuracy,0.98,0.98,0.98,0.98
macro avg,0.9803921568627452,0.9803921568627452,0.9797979797979798,50.0
weighted avg,0.9811764705882353,0.98,0.98,50.0
