,precision,recall,f1-score,support
Healthy,0.0,0.0,0.0,2.0
Nitrogen Deficiency,0.0,0.0,0.0,9.0
Phosphorus Deficiency,0.0,0.0,0.0,10.0
Potassium Deficiency,0.3548387096774194,1.0,0.5238095238095238,11.0
accuracy,0.34375,0.34375,0.34375,0.34375
macro avg,0.08870967741935484,0.25,0.13095238095238096,32.0
weighted avg,0.1219758064516129,0.34375,0.1800595238095238,32.0
