experiment,date,plant_no,plant_height_cm,shoot_length_cm,root_length_cm,head_diameter_cm,stem_diameter_cm,total_weight_g,shoot_weight_g,root_weight_g,no_of_leaves
Experiment 2,,1,11.0,5,6.0,7*8,0.3,5.13,2.41,2.72,7
Experiment 2,,2,13.0,7,6.0,6*7,0.3,5.0,2.14,2.86,7
Experiment 2,,3,12.5,5,7.5,5*6,0.3,5.25,1.58,3.67,5
Experiment 2,,4,13.0,7,6.0,7*8,0.3,4.85,2.45,2.3999999999999995,7
Experiment 2,,5,12.0,6,6.0,6*4,0.2,5.36,1.93,3.4300000000000006,7
Experiment 2,,6,13.0,7,6.0,6*4.5,0.3,3.9,1.74,2.16,6
Experiment 2,,7,12.0,6,6.0,6*.6.5,0.3,5.38,2.4,2.98,7
Experiment 2,,8,13.0,7,6.0,6.5*5,0.2,3.67,1.88,1.79,6
Experiment 2,,9,12.0,6,6.0,6*5,0.3,4.92,1.89,3.03,8
Experiment 2,,10,14.0,6,8.0,7*5,0.3,4.53,2.21,2.3200000000000003,6
Experiment 2,,11,14.0,8,6.0,7*6,0.3,4.98,2.36,2.620000000000001,6
Experiment 2,,12,13.0,6,7.0,6.5*4,0.3,5.33,2.13,3.2,7
