experiment,replicate_1_t1,replicate_2_t1,replicate_3_t1,replicate_1_t2,replicate_2_t2,replicate_3_t2
Experiment 3,180,180,180,180,180,180
Experiment 3,197,173,187,188,187,190
Experiment 3,377,353,367,368,367,370
