experiment,replicate_1_t1,replicate_2_t1,replicate_3_t1,replicate_1_t2,replicate_2_t2,replicate_3_t2
Experiment 1,115,136,136,136,136,136
Experiment 1,30,30,30,30,30,30
Experiment 1,0,0,0,0,0,136
Experiment 1,12,9,9,21,21,27
Experiment 1,157,175,175,187,187,329
