experiment,system,plant_no,plant_height_cm,shoot_length_cm,root_length_cm,hd_cm,total_weight_g,stem_diameter_cm,shoot_weight_before_removing_wilted_leaves_g,shoot_weight_after_removing_wilted_leaves_g,root_weight_g,noof_leaves
Experiment 3,R2T2,3.0,62.0,18.0,44.0,26*28,292.0,1.0,255.0,251.0,37.0,43.0
Experiment 3,R2T2,4.0,71.0,18.0,53.0,27*23,260.0,1.0,223.0,221.0,37.0,38.0
Experiment 3,R2T2,5.0,67.0,19.0,48.0,27*29,315.0,1.0,271.0,264.0,44.0,43.0
Experiment 3,R2T2,6.0,60.0,19.0,41.0,22*24,282.0,1.0,244.0,242.0,38.0,39.0
Experiment 3,R2T2,7.0,63.0,19.0,44.0,27*29,274.0,1.0,236.0,232.0,38.0,45.0
Experiment 3,R2T2,8.0,62.0,19.0,43.0,30*29,290.0,1.0,251.0,245.0,39.0,34.0
Experiment 3,R2T2,9.0,72.0,18.0,54.0,28*26,260.0,1.0,222.0,216.0,38.0,40.0
Experiment 3,R2T2,10.0,64.0,19.0,45.0,28*27,240.0,1.0,206.0,200.0,34.0,37.0
Experiment 3,R2T2,11.0,56.0,17.0,39.0,27*24,264.0,1.0,228.0,227.0,36.0,45.0
Experiment 3,R2T2,12.0,54.0,16.0,38.0,23*23,250.0,1.0,216.0,212.0,34.0,46.0
Experiment 3,R2T2,,62.0,18.16666667,43.83333333,,271.0,1.0,233.8333333,230.1666667,37.16666667,40.08333333
Experiment 3,R3T2,1.0,63.0,15.0,48.0,29*23,241.0,1.0,206.0,205.0,35.0,38.0
Experiment 3,R3T2,2.0,78.0,18.0,60.0,24*23,244.0,1.0,205.0,203.0,39.0,42.0
Experiment 3,R3T2,3.0,75.0,17.0,58.0,22*24,203.0,1.0,171.0,167.0,32.0,37.0
Experiment 3,R3T2,4.0,59.0,16.0,43.0,27*28,304.0,1.5,264.0,255.0,40.0,42.0
Experiment 3,R3T2,5.0,72.0,18.0,54.0,27*25,268.0,1.0,228.0,217.0,40.0,39.0
Experiment 3,R3T2,6.0,50.0,20.0,30.0,25*27,254.0,1.0,216.0,216.0,38.0,41.0
Experiment 3,R3T2,7.0,57.0,20.0,37.0,25*29,235.0,1.0,219.0,210.0,16.0,37.0
Experiment 3,R3T2,8.0,54.0,18.0,36.0,24*22,221.0,1.0,187.0,184.0,34.0,37.0
Experiment 3,R3T2,9.0,62.0,17.0,45.0,25*25,224.0,1.0,190.0,187.0,34.0,35.0
Experiment 3,R3T2,10.0,55.0,16.0,39.0,23*21,200.0,1.0,166.0,162.0,34.0,36.0
Experiment 3,R3T2,11.0,56.0,16.0,40.0,23*24,282.0,1.2,238.0,236.0,44.0,44.0
Experiment 3,R3T2,12.0,57.0,15.0,42.0,23*29,223.0,1.0,191.0,191.0,32.0,36.0
Experiment 3,R3T2,,61.5,17.16666667,44.33333333,,241.5833333,1.058333333,206.75,202.75,34.83333333,38.66666667
