experiment,replicate_1_t1,replicate_2_t1,replicate_3_t1,replicate_1_t2,replicate_2_t2,replicate_3_t2
Experiment 3,100,100,100,100,100,100
Experiment 3,45,40,30,30,35,40
Experiment 3,50,50,50,50,50,50
Experiment 3,195,190,180,180,185,190
