experiment,plant_no,total_weight_g,plant_height_cm,shoot_length_cm,root_length_cm,head_diameter_cm,stem_diameter_cm,shoot_weight_before_removing_wilted_leaves_g,shoot_weight_after_removing_wilted_leavesg,root_weight_g,no_of_leaves,system
Experiment 2,1.0,317.0,55.0,15.0,40.0,25*26,2.0,272.0,264.0,45.0,37.0,R1-T1
Experiment 2,2.0,270.0,50.0,16.0,34.0,30*25,2.0,248.0,239.0,22.0,29.0,R1-T1
Experiment 2,3.0,311.0,52.0,14.0,38.0,29*30,2.0,292.0,283.0,19.0,38.0,R1-T1
Experiment 2,4.0,360.0,70.0,17.0,53.0,30*31,2.5,300.0,293.0,60.0,37.0,R1-T1
Experiment 2,5.0,326.0,67.0,19.0,48.0,27*30,2.1,300.0,300.0,26.0,34.0,R1-T1
Experiment 2,6.0,255.0,58.0,17.0,41.0,28*29,1.8,227.0,222.0,28.0,33.0,R1-T1
Experiment 2,7.0,392.0,60.0,19.0,41.0,29*30,2.0,343.0,337.0,49.0,41.0,R1-T1
Experiment 2,8.0,218.0,43.0,17.0,26.0,27*27,2.0,184.0,180.0,34.0,38.0,R1-T1
Experiment 2,9.0,300.0,61.0,16.0,45.0,30*30,2.0,251.0,249.0,49.0,33.0,R1-T1
Experiment 2,10.0,327.0,64.0,18.0,46.0,28*29,2.0,282.0,282.0,45.0,41.0,R1-T1
Experiment 2,11.0,297.0,56.0,17.0,39.0,26*27,2.0,254.0,253.0,43.0,36.0,R1-T1
Experiment 2,12.0,251.0,44.0,19.0,25.0,29*28,2.0,200.0,200.0,51.0,38.0,R1-T1
Experiment 2,,302.0,,,,,,,,,,R1-T1
Experiment 2,1.0,333.0,64.0,15.0,49.0,33*28,2.0,290.0,290.0,43.0,39.0,R2-T1
Experiment 2,2.0,342.0,64.0,21.0,43.0,30*28,2.0,302.0,300.0,40.0,46.0,R2-T1
Experiment 2,3.0,327.0,64.0,19.0,45.0,28*28,2.0,288.0,280.0,39.0,42.0,R2-T1
Experiment 2,4.0,324.0,50.0,19.0,31.0,30*28,2.5,282.0,275.0,42.0,43.0,R2-T1
Experiment 2,5.0,280.0,68.0,19.0,49.0,28*26,2.0,246.0,245.0,34.0,40.0,R2-T1
