experiment,plant_no,total_weight_g,plant_height_cm,shoot_length_cm,root_length_cm,head_diameter_cm,stem_diameter_cm,shoot_weight_before_removing_wilted_leaves_g,shoot_weight_after_removing_wilted_leavesg,root_weight_g,no_of_leaves,system
Experiment 2,6.0,368.0,67.0,20.0,47.0,28*33,2.0,348.0,347.0,20.0,46.0,R2-T1
Experiment 2,7.0,335.0,62.0,17.5,44.5,30*29,2.0,297.0,297.0,38.0,46.0,R2-T1
Experiment 2,8.0,290.0,72.0,19.0,53.0,30*32,2.0,260.0,258.0,30.0,45.0,R2-T1
Experiment 2,9.0,325.0,60.0,19.0,41.0,30*35,2.0,286.0,277.0,39.0,45.0,R2-T1
Experiment 2,10.0,347.0,56.0,19.0,37.0,30*34,2.0,308.0,308.0,39.0,40.0,R2-T1
Experiment 2,11.0,330.0,50.0,19.0,31.0,27*26,2.0,312.0,311.0,18.0,40.0,R2-T1
Experiment 2,12.0,335.0,56.0,18.0,38.0,30*29,2.0,290.0,285.0,45.0,49.0,R2-T1
Experiment 2,,328.0,,,,,,,,,,R2-T1
Experiment 2,1.0,249.0,67.0,19.0,48.0,30*27,2.0,219.0,213.0,30.0,35.0,R3-T1
Experiment 2,2.0,309.0,50.0,18.0,32.0,29*28,1.8,277.0,276.0,32.0,43.0,R3-T1
Experiment 2,3.0,282.0,52.0,17.0,35.0,27*22.5,2.0,255.0,250.0,27.0,47.0,R3-T1
Experiment 2,4.0,320.0,55.0,19.0,36.0,27*23,2.0,282.0,281.0,38.0,44.0,R3-T1
Experiment 2,5.0,325.0,53.0,20.0,33.0,30*35,2.0,299.0,298.0,26.0,44.0,R3-T1
Experiment 2,6.0,311.0,62.0,20.0,42.0,30*33,2.0,275.0,275.0,36.0,42.0,R3-T1
Experiment 2,7.0,261.0,73.0,17.0,56.0,30*29,2.0,232.0,230.0,29.0,40.0,R3-T1
Experiment 2,8.0,249.0,67.0,16.0,51.0,30*29,2.0,215.0,215.0,34.0,40.0,R3-T1
Experiment 2,9.0,314.0,74.0,20.0,54.0,30*30,2.0,286.0,283.0,28.0,47.0,R3-T1
Experiment 2,10.0,227.0,62.0,18.0,44.0,30*30,1.5,198.0,196.0,29.0,42.0,R3-T1
Experiment 2,11.0,370.0,73.0,18.0,55.0,30*30,2.0,343.0,343.0,27.0,46.0,R3-T1
Experiment 2,12.0,287.0,61.0,18.0,43.0,30*35,2.0,252.0,246.0,35.0,42.0,R3-T1
Experiment 2,,292.0,,,,,,,,,,R3-T1
Experiment 2,1.0,372.0,64.0,22.0,42.0,35*35,2.0,334.0,326.0,38.0,37.0,R1-T2
Experiment 2,2.0,307.0,59.0,18.0,41.0,30*29,2.0,272.0,271.0,35.0,34.0,R1-T2
Experiment 2,3.0,292.0,48.0,15.0,33.0,28*29,2.0,265.0,260.0,27.0,31.0,R1-T2
Experiment 2,4.0,366.0,66.0,19.0,47.0,30*29,2.0,336.0,336.0,30.0,36.0,R1-T2
Experiment 2,5.0,348.0,66.0,19.0,47.0,28*29,2.0,314.0,312.0,34.0,41.0,R1-T2
Experiment 2,6.0,384.0,69.0,20.0,49.0,29*25,2.0,350.0,345.0,34.0,40.0,R1-T2
Experiment 2,7.0,361.0,71.0,20.5,50.5,30*29,2.0,320.0,320.0,41.0,39.0,R1-T2
Experiment 2,8.0,367.0,64.0,18.0,46.0,28*27,2.0,318.0,319.0,49.0,43.0,R1-T2
Experiment 2,9.0,305.0,70.0,18.0,52.0,33*30,2.0,280.0,279.0,25.0,43.0,R1-T2
Experiment 2,10.0,352.0,70.0,22.0,48.0,30*30,2.0,314.0,310.0,38.0,47.0,R1-T2
Experiment 2,11.0,300.0,52.0,17.0,35.0,28*27,2.0,266.0,266.0,34.0,43.0,R1-T2
Experiment 2,12.0,312.0,66.0,21.0,45.0,26*26,2.0,281.0,277.0,31.0,43.0,R1-T2
Experiment 2,,338.8333333333333,,,,,,,,,,R1-T2
Experiment 2,1.0,292.0,69.0,19.0,50.0,27*26,2.0,265.0,262.0,27.0,43.0,R2-T2
Experiment 2,2.0,311.0,53.0,18.0,35.0,30*27,2.0,272.0,269.0,39.0,44.0,R2-T2
Experiment 2,3.0,363.0,75.0,18.0,57.0,30*29,2.0,293.0,293.0,70.0,42.0,R2-T2
Experiment 2,4.0,394.0,60.0,21.5,38.5,27*26,2.5,351.0,351.0,43.0,50.0,R2-T2
Experiment 2,5.0,408.0,65.0,20.0,45.0,27*29,2.0,368.0,356.0,40.0,49.0,R2-T2
Experiment 2,6.0,346.0,70.0,22.0,48.0,28*35,2.0,310.0,309.0,36.0,45.0,R2-T2
Experiment 2,7.0,400.0,68.0,18.0,50.0,30*30,2.0,352.0,352.0,48.0,52.0,R2-T2
Experiment 2,8.0,375.0,59.0,20.0,39.0,27*30,2.0,330.0,330.0,45.0,47.0,R2-T2
Experiment 2,9.0,412.0,62.0,22.0,40.0,32*35,2.0,367.0,364.0,45.0,38.0,R2-T2
Experiment 2,10.0,345.0,64.0,18.0,46.0,30*30,2.0,302.0,300.0,43.0,44.0,R2-T2
Experiment 2,11.0,376.0,67.0,19.5,47.5,30*30,2.0,334.0,325.0,42.0,46.0,R2-T2
Experiment 2,12.0,374.0,62.0,20.0,42.0,27*30,2.0,335.0,334.0,39.0,42.0,R2-T2
Experiment 2,,366.3333333333333,,,,,,,,,,R2-T2
Experiment 2,1.0,377.0,64.0,20.0,44.0,30*29,2.0,332.0,332.0,45.0,39.0,R3-T2
Experiment 2,2.0,391.0,65.0,20.0,45.0,30*27,2.0,347.0,347.0,44.0,41.0,R3-T2
Experiment 2,3.0,368.0,80.0,19.0,61.0,27*24,2.0,330.0,330.0,38.0,50.0,R3-T2
Experiment 2,4.0,308.0,53.0,17.0,36.0,25*25,2.0,273.0,267.0,35.0,43.0,R3-T2
Experiment 2,5.0,294.0,59.0,19.0,40.0,26*25,2.0,260.0,260.0,34.0,38.0,R3-T2
Experiment 2,6.0,334.0,62.0,17.0,45.0,26*26,2.0,296.0,296.0,38.0,45.0,R3-T2
Experiment 2,7.0,353.0,75.0,20.5,54.5,27*26,2.0,330.0,326.0,23.0,43.0,R3-T2
Experiment 2,8.0,368.0,51.0,18.0,33.0,28*28,2.0,314.0,308.0,54.0,42.0,R3-T2
Experiment 2,9.0,313.0,62.0,18.0,44.0,30*30,2.0,271.0,270.0,42.0,42.0,R3-T2
Experiment 2,10.0,348.0,64.0,19.0,45.0,28*28,2.0,312.0,312.0,36.0,38.0,R3-T2
Experiment 2,11.0,321.0,52.0,17.0,35.0,29*26,2.0,281.0,281.0,40.0,43.0,R3-T2
Experiment 2,12.0,300.0,70.0,16.0,54.0,27*25,2.0,264.0,264.0,36.0,43.0,R3-T2
Experiment 2,,339.5833333333333,,,,,,,,,,R3-T2
